demand_id,vehicle_id,vehicle_no,depot,request_time,assigned_time,pickup_time,dropoff_time,call_waiting_time,pickup_waiting_time,service_travel_time,total_trip_time,work_start,work_end,actual_work_hours,pickup_node_id,dropoff_node_id,pickup_x,pickup_y,dropoff_x,dropoff_y,pickup_depot_name,dropoff_depot_name
CL0000005116_june23_117,20,76보5243,동탄차고지,11:23:01,11:23:01,11:32:30,11:41:31,0.0,9.483333333333333,9.016666666666667,18.5,08:00:00,17:00:00,8.0,612936.0,613069.0,127.11441981674449,37.15994414972537,127.10669653032684,37.165980129529295,동탄차고지,동탄차고지
CL0000002973_june23_086,6,71머4610,향남차고지,10:09:16,10:09:16,10:18:09,11:42:52,0.0,8.883333333333333,84.71666666666667,93.6,06:00:00,15:00:00,8.0,210618.0,581126.0,126.91029295740636,37.13128954003405,126.79711442675784,37.11345121783386,향남차고지,향남차고지
CL0000001369_june23_095,34,714머8662,병점차고지,10:29:58,10:29:58,11:01:34,11:46:03,0.0,31.6,44.483333333333334,76.08333333333333,08:00:00,17:00:00,8.5,605532.0,333600.0,126.9753239222791,37.21773951054147,127.04773122256296,37.278167581587496,봉담차고지,
CL0000005686_june23_092,62,728루4746,봉담차고지,10:22:05,10:22:05,10:36:16,11:48:14,0.0,14.183333333333334,71.96666666666667,86.15,08:00:00,19:00:00,10.0,605547.0,581955.0,126.95692508126128,37.237237225561366,126.92153069647748,37.13715391512689,봉담차고지,향남차고지
CL0000051159_june23_016,46,728루4752,향남차고지,07:11:45,07:38:46,07:57:08,11:52:07,27.016666666666666,18.366666666666667,234.98333333333332,280.3666666666667,06:00:00,15:00:00,8.0,581123.0,203415.0,126.79730746888322,37.114258211317605,126.75303830529738,37.47679796574419,향남차고지,
CL0000047756_june23_096,41,714머8673,병점차고지,10:32:49,10:32:49,11:15:23,11:54:38,0.0,42.56666666666667,39.25,81.81666666666666,08:00:00,17:00:00,8.5,613494.0,212094.0,127.02774329596924,37.2776232734952,126.97753824312431,37.21555995180653,,봉담차고지
CL0000039270_june23_102,18,76보5241,병점차고지,10:46:28,10:46:28,10:57:06,11:55:24,0.0,10.633333333333333,58.3,68.93333333333334,08:00:00,17:00:00,8.0,330252.0,613006.0,127.0393095269518,37.21862934544573,127.09017641208688,37.09816030223576,병점차고지,
CL0000002333_june23_113,8,73두0130,병점차고지,11:17:46,11:17:46,11:26:16,11:57:47,0.0,8.5,31.516666666666666,40.016666666666666,08:00:00,17:00:00,8.5,329781.0,211927.0,127.04353616741344,37.21542089963416,126.960830905064,37.21434046166237,병점차고지,봉담차고지
CL0000049870_june23_119,7,71머4612,동탄차고지,11:35:07,11:35:07,11:44:07,11:58:49,0.0,9.0,14.7,23.7,08:00:00,19:00:00,10.0,613358.0,331148.0,127.097469362699,37.19836226922996,127.0796456964893,37.21713985119504,동탄차고지,동탄차고지
CL0000003415_june23_120,25,70보5616,동탄차고지,11:39:19,11:39:19,11:49:00,12:01:12,0.0,9.683333333333334,12.2,21.883333333333333,10:00:00,19:00:00,8.0,613283.0,613288.0,127.09878783825933,37.20286303741944,127.11062216195234,37.17098887669788,동탄차고지,동탄차고지
